well,data_source,depth,vitrinite_parameter,VR,VR_unc_1sigma,N_observations,long,lat,x_coord_swiss_grid,y_coord_swiss_grid,elevation,max_depth,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Altishofen,,190.0,,0.41,0.04,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,,182.3,,0.41,0.03,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,,857.2,,1.41,0.06,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,,869.6,,1.06,0.08,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,,904.4,,0.46,0.07,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,,986.0,,0.96,0.11,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,,1279.4,,0.46,0.06,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Chapelle,Schegg et al. 1997,53.0,,0.41,0.04,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Schegg et al. 1997,78.0,,0.43,0.06,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Schegg et al. 1997,600.0,,0.5,0.05,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Schegg et al. 1997,1366.0,,0.7,0.03,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Schegg et al. 1997,1437.0,,0.69,0.04,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Schegg et al. 1997,1504.0,,0.8,0.09,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Entlebuch,secret_data,485.0,Ro,0.56,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
