tectonic_unit,strat_unit,sample_id,sample_id2,outcrop_or_borehole,x_swiss_coords,y_swiss_coords,long,lat,elevation,depth,Rr,s,n,A,MA,source
"Subalpine Molasse",USM,RS,355,outcrop,624050,178275,7.753413,46.755228,1160,0,0.48,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,356,outcrop,621150,181150,7.715589,46.781187,915,0,0.5,0.05,52,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,357,outcrop,624575,184750,7.760631,46.813453,945,0,0.6,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,358,outcrop,617750,181400,7.671077,46.783535,680,0,0.54,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,359,outcrop,621750,181425,7.723459,46.783642,740,0,0.46,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,360,outcrop,621450,181700,7.719543,46.786125,730,0,0.68,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,361,outcrop,621825,181450,7.724442,46.783864,750,0,0.49,0.06,38,2,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,362,outcrop,617800,181300,7.671728,46.782634,710,0,0.5,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,363,outcrop,622250,180875,7.72998,46.778678,800,0,0.5,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,213,outcrop,708850,233350,8.876368,47.242097,470,0,0.44,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,214,outcrop,715850,249600,8.973001,47.387037,710,0,0.35,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,215,outcrop,712200,247500,8.924144,47.368785,740,0,0.38,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,216,outcrop,712900,247800,8.933485,47.371363,800,0,0.25,0.04,40,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,217,outcrop,714150,246700,8.949752,47.361256,810,0,0.27,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,218,outcrop,713750,246550,8.94442,47.359976,845,0,0.36,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,219,outcrop,713440,248380,8.940781,47.376486,930,0,0.21,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,220,outcrop,713530,248300,8.941952,47.375751,1000,0,0.31,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,222,outcrop,721600,277700,9.056812,47.638674,605,0,0.42,0.03,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,238,outcrop,682700,236150,8.531534,47.271071,730,0,0.37,0.03,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,240,outcrop,698000,256750,8.738202,47.454234,560,0,0.29,0.04,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,241,outcrop,687350,229575,8.591699,47.211339,555,0,0.36,0.02,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,242a,outcrop,678800,237850,8.480298,47.286838,620,0,0.43,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,242b,outcrop,678800,237850,8.480298,47.286838,62,0,0.47,0.08,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,243,outcrop,681700,238200,8.518693,47.289633,635,0,0.59,0.05,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,244,outcrop,688750,234550,8.611159,47.255896,420,0,0.48,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,245,outcrop,688750,234550,8.611159,47.255896,420,0,0.54,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,246,outcrop,693400,257950,8.677463,47.465695,432,0,0.48,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,247,outcrop,683675,227480,8.542805,47.192973,475,0,0.37,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,248a,outcrop,686600,232575,8.582378,47.238419,650,0,0.41,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OSM,RS,248b,outcrop,686600,232575,8.582378,47.238419,650,0,0.46,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS,211,outcrop,715250,234750,8.96124,47.253601,630,0,0.44,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS,212,outcrop,708850,232850,8.876247,47.2376,460,0,0.42,0.04,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS,226,outcrop,660550,251075,8.240854,47.407708,500,0,0.44,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS,237,outcrop,660850,210100,8.239291,47.039145,520,0,0.5,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS,297,outcrop,661300,251150,8.250801,47.408313,490,0,0.4,0.05,50,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS,300,outcrop,659950,251050,8.232902,47.407538,520,0,0.52,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS,311,outcrop,669650,255700,8.362131,47.448403,420,0,0.44,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,RS,209,outcrop,715150,232600,8.959369,47.234284,490,0,0.54,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,RS,210,outcrop,714550,233380,8.951645,47.241403,490,0,0.47,0.03,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,RS,249,outcrop,682100,223252,8.521254,47.155144,535,0,0.45,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,239,outcrop,691250,223750,8.641995,47.158424,980,0,0.58,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,52,outcrop,747000,251000,9.385876,47.39341,,0,0.53,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,78,outcrop,728935,229410,9.140454,47.203051,,0,0.5,0.04,50,3,,"PhD thesis Roland Schegg (1993)"
Unkown,"Miocene Fm.",RS,224,outcrop,585100,246450,7.241362,47.368719,565,0,0.24,0.02,50,2,,"PhD thesis Roland Schegg (1993)"
Unkown,"Miocene Fm.",Weid,96,outcrop,230000,580000,2.255295,50.256208,,0,0.28,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
Unkown,"Oligocene Fm.",RS,223,outcrop,621900,247550,7.728615,47.378421,880,0,0.3,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
Unkown,"Oligocene Fm.",Weid,2,outcrop,612660,259840,7.606611,47.4892,,0,0.41,0.03,97,0,,"PhD thesis Roland Schegg (1993)"
Unkown,"Oligocene Fm.",Weid,97,outcrop,600140,243090,7.440478,47.338668,,0,0.5,0.04,50,2,,"PhD thesis Roland Schegg (1993)"
Unkown,"Oligocene Fm.",Weid,112,outcrop,594290,235600,7.36317,47.271274,,0,0.55,0.07,50,1,,"PhD thesis Roland Schegg (1993)"
Unkown,"Oligocene Fm.",Weid,119,outcrop,592880,244510,7.344394,47.351401,400,0,0.41,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
Unkown,"Oligocene Fm.",Weid,120,outcrop,592880,244510,7.344394,47.351401,370,0,0.49,0.04,68,1,,"PhD thesis Roland Schegg (1993)"
