tectonic_unit,strat_unit,sample_id,sample_id2,outcrop_or_borehole,x_swiss_coords,y_swiss_coords,long,lat,elevation,depth,Rr,s,n,A,MA,source
"Subalpine Molasse",UMM,RS133,,outcrop,512650,99900,6.310214,46.044967,740,0,0.64,0.05,50,0,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",UMM,RS144,,outcrop,516050,100700,6.353988,46.052595,580,0,0.8,0.07,50,0,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",UMM,Wi2065,,outcrop,511200,101000,6.291276,46.054672,700,0,0.57,0.06,62,0,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS12,,outcrop,517800,100000,6.376718,46.046514,680,0,0.78,0.08,92,0,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS13,,outcrop,509800,92200,6.274879,45.975334,780,0,0.58,0.05,50,3,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS114,,outcrop,505150,89620,6.215413,45.951492,910,0,0.55,0.08,100,1,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS115,,outcrop,503000,88080,6.188007,45.937335,600,0,0.61,0.06,50,2,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS119,,outcrop,504250,86150,6.204513,45.920154,600,0,0.65,0.09,100,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS120,,outcrop,504250,86150,6.204513,45.920154,600,0,0.56,0.04,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS122,,outcrop,503350,86620,6.192818,45.924254,540,0,0.53,0.04,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS124,,outcrop,503400,86700,6.193446,45.92498,570,0,0.55,0.05,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS134,,outcrop,515020,98050,6.341161,46.02863,1060,0,0.66,0.06,100,0,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS136,,outcrop,515020,98050,6.341161,46.02863,1060,0,0.57,0.04,50,3,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS147,,outcrop,516550,99030,6.360744,46.037636,840,0,0.64,0.06,50,0,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS131,,outcrop,518950,99250,6.391703,46.039907,880,0,0.6,0.04,101,0,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS156,,outcrop,522400,101050,6.435965,46.056504,720,0,0.66,0.04,100,2,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS168,,outcrop,517100,85000,6.370319,45.91151,580,0,0.81,0.09,50,2,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS186,,outcrop,524600,100250,6.464517,46.049558,900,0,0.65,0.05,108,0,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS188,,outcrop,524600,100250,6.464517,46.049558,900,0,0.62,0.04,50,2,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS191,,outcrop,523980,96600,6.457099,46.016657,1640,0,0.75,0.04,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains",UMM,RS196,,outcrop,509800,92200,6.274879,45.975334,750,0,0.57,0.04,96,1,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains","Eocene fm.",RS203,,outcrop,502650,69300,6.187363,45.768375,980,0,0.49,0.05,50,1,D,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains","Eocene fm.",RS204,,outcrop,502650,69300,6.187363,45.768375,980,0,0.51,0.05,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains","Eocene fm.",Wi2052,,outcrop,538400,97700,6.643127,46.028023,1170,0,1.61,0.12,51,1,V,"PhD thesis Roland Schegg (1993)"
