AFT_reference,sample_id,borehole,long,lat,x_swiss_grid,y_swiss_grid,elevation,depth,depth_min,depth_max,location,outcrop_or_borehole,lithology,tectonic_unit,stratigraphic_unit,stratigraphic_age_min,stratigraphic_age_max,include_in_compilation,AFT_central_age,AFT_central_age_stdev,AFT_central_age_95ci_min,AFT_central_age_95ci_plus,AFT_n_grains,AFT_Dpar,AFT_Dper,AFT_age_dispersion_perc,AFT_P_chi_sq,P_X2,AFT_reset,AFT_resetting_depth,Unnamed: 31,Unnamed: 32,AFT_mean_track_length,AFT_track_length_stderr,AFT_track_length_stdev,N ap TL,ZFT_age,ZFT_age_stdev,ZFT_n_grains,ZFT_reference,AHe_mean age,AHe_mean age_error_perc,Ahe_reset,AHe_reference,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Cederbom2004,W137,Weggis,8.4262661127,47.034344193500004,675066.069574,209728.250507,,620.0,,,,borehole,,,USM,28.4,20.43,y,4.8,,1.1,1.1,8.0,,,,,77.0,y,,,,,,,,,,,,,,,,-5434.906575195109,-5434.906575195109,277312.48043587484
Cederbom2004,W138,Weggis,8.4262661127,47.034344193500004,675066.069574,209728.250507,,1485.0,,,,borehole,,,USM,28.4,20.43,y,7.8,,0.9,0.9,40.0,,,,,0.0,y,,,,,,,,,,,,,,,,-5434.906575195109,-5434.906575195109,277312.48043587484
Cederbom2004,W139,Weggis,8.4262661127,47.034344193500004,675066.069574,209728.250507,,2135.0,,,,borehole,,,USM,28.4,20.43,y,4.7,,0.6,0.6,29.0,,,,,2.0,y,,,,,,,,,,,,,,,,-5434.906575195109,-5434.906575195109,277312.48043587484
Cederbom2011,A1190,Altishofen,7.9725399901,47.2042293187,640452.57645,228280.50720300002,,1190.0,,,,borehole,,,USM,28.4,20.43,y,30.8,,6.3,7.9,60.0,,,,,0.0,n,,,,,,,,,,,,,,,,26837.24607957336,26837.24607957336,257450.0258409649
Cederbom2011,A1281,Altishofen,7.9725399901,47.2042293187,640452.57645,228280.50720300002,,1281.0,,,,borehole,,,USM,28.4,20.43,y,31.2,,3.3,3.5,60.0,,,,,0.0,n,,,,,,,,,,,,,,,,26837.24607957336,26837.24607957336,257450.0258409649
Cederbom2011,A193,Altishofen,7.9725399901,47.2042293187,640452.57645,228280.50720300002,,193.0,,,,borehole,,,OMM,19.0,17.25,y,33.0,,6.3,7.8,20.0,,,,,0.0,n,,,,,,,,,,,,,,,,26837.24607957336,26837.24607957336,257450.0258409649
Cederbom2011,A956,Altishofen,7.9725399901,47.2042293187,640452.57645,228280.50720300002,,956.0,,,,borehole,,,USM,28.4,20.43,y,24.8,,2.7,3.0,49.0,,,,,0.0,n,,,,,,,,,,,,,,,,26837.24607957336,26837.24607957336,257450.0258409649
Cederbom2011,B9rec,Boswil,8.251403999999999,47.260486,661515.72437,234715.85117399998,,1817.0,,,,borehole,,,USM,28.4,20.43,y,12.7,,2.9,3.7,45.0,,,,,0.0,y,,,,,,,,,,,,,,,,22357.447795935743,22357.447795935743,281997.07286262343
Cederbom2011,Ch1,Chapelle,6.7509513394,46.665676473299996,547371.5675380001,168503.326326,,296.0,,,,borehole,,,USM,28.4,20.43,y,30.9,,8.1,10.9,22.0,,,,,0.0,n,,,,,,,,,,,,,,,,9727.153222833991,9727.153222833991,135372.04803481343
Cederbom2011,Ch2,Chapelle,6.7509513394,46.665676473299996,547371.5675380001,168503.326326,,517.0,,,,borehole,,,USM,28.4,20.43,y,26.4,,4.5,5.4,8.0,,,,,77.0,n,,,,,,,,,,,,,,,,9727.153222833991,9727.153222833991,135372.04803481343
Cederbom2011,Ch3,Chapelle,6.7509513394,46.665676473299996,547371.5675380001,168503.326326,,667.0,,,,borehole,,,USM,28.4,20.43,y,28.3,,3.5,4.0,20.0,,,,,33.0,n,,,,,,,,,,,,,,,,9727.153222833991,9727.153222833991,135372.04803481343
Cederbom2011,Ch4,Chapelle,6.7509513394,46.665676473299996,547371.5675380001,168503.326326,,1041.0,,,,borehole,,,USM,28.4,20.43,y,29.9,,7.4,9.8,5.0,,,,,82.0,n,,,,,,,,,,,,,,,,9727.153222833991,9727.153222833991,135372.04803481343
Cederbom2011,Ch5,Chapelle,6.7509513394,46.665676473299996,547371.5675380001,168503.326326,,1201.0,,,,borehole,,,USM,28.4,20.43,y,27.0,,4.0,4.7,33.0,,,,,2.0,n,,,,,,,,,,,,,,,,9727.153222833991,9727.153222833991,135372.04803481343
Cederbom2011,Ch6,Chapelle,6.7509513394,46.665676473299996,547371.5675380001,168503.326326,,1336.0,,,,borehole,,,USM,28.4,20.43,y,21.4,,4.7,6.1,13.0,,,,,22.0,n,,,,,,,,,,,,,,,,9727.153222833991,9727.153222833991,135372.04803481343
Cederbom2011,E20,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,1000.0,,,,borehole,,,USM,28.4,20.43,y,25.5,,4.7,5.8,60.0,,,,,0.0,n,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
Cederbom2011,E2-1,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,2430.0,,,,borehole,,,USM,28.4,20.43,y,4.3,,1.1,1.6,24.0,,,,,69.0,y,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
Cederbom2011,E2-2,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,2710.0,,,,borehole,,,USM,28.4,20.43,y,3.0,,1.0,1.6,12.0,,,,,83.0,y,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
Cederbom2011,E26,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,1300.0,,,,borehole,,,USM,28.4,20.43,y,24.5,,3.9,4.7,60.0,,,,,0.0,n,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
Cederbom2011,E32,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,1600.0,,,,borehole,,,USM,28.4,20.43,y,20.8,,2.9,3.4,60.0,,,,,0.0,n,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
