well,gof_T_best,gof_vr_best,gof_aft_best,gof_ahe_best,gof_thermochron_best,cooling_vr_best,cooling_vr_min,cooling_vr_max,cooling_aft_best,cooling_aft_min,cooling_aft_max,cooling_ahe_best,cooling_ahe_min,cooling_ahe_max,exhumation_vr_best,exhumation_vr_min,exhumation_vr_max,exhumation_aft_best,exhumation_aft_min,exhumation_aft_max,exhumation_ahe_best,exhumation_ahe_min,exhumation_ahe_max,heat_flow_vr_best,heat_flow_vr_min,heat_flow_vr_max,heat_flow_aft_best,heat_flow_aft_min,heat_flow_aft_max,heat_flow_ahe_best,heat_flow_ahe_min,heat_flow_ahe_max,gof_ahe_exh2000_best,heat_flow_ahe_exh2000_best,heat_flow_ahe_exh2000_min,heat_flow_ahe_exh2000_max,cooling_thermochron_best,exhumation_thermochron_best,heat_flow_thermochron_best,cooling_thermochron_min,cooling_thermochron_max,exhumation_thermochron_min,exhumation_thermochron_max,heat_flow_thermochron_min,heat_flow_thermochron_max,gof_thermochron_exh2000_best,heat_flow_thermochron_exh2000_best,heat_flow_thermochron_exh2000_min,heat_flow_thermochron_exh2000_max,gof_thermochron_hf0.065_best,exhumation_thermochron_hf0.065_best,exhumation_thermochron_hf0.065_min,exhumation_thermochron_hf0.065_max
RH45,,,0.78216563436800002,1.0,0.57982901223299999,,,,104.95384165500001,96.041170930599989,110.67221507299999,65.911695904799998,50.106592770600002,93.478418799599993,,,,2250.0,2250.0,4750.0,1250.0,1000.0,4750.0,,,,0.095000000000000001,0.050000000000000003,0.10000000000000001,0.095000000000000001,0.040000000000000001,0.10000000000000001,1.0,0.06,0.055,0.095,115.495272986,3000.0,0.085,,,,,,,0.358439695002,0.08,,,0.579829012233,4000.0,,
RH50,,,0.59592194061800008,0.66666666666700003,0.57534991794200008,,,,103.65406976700001,,,83.66072413229999,,,,,,2000.0,,,1500.0,,,,,,0.10000000000000001,,,0.10000000000000001,,,0.666666666667,0.075,,,107.499212515,2250.0,0.095,,,,,,,0.555060994661,0.1,,,0.563648348649,3750.0,,
RH60c,,,0.98209820878999998,1.0,0.0017801642134,,,,122.751538418,111.96208767100001,122.751538418,62.363363144499999,47.7355742855,130.17954460299998,,,,2500.0,2500.0,2750.0,1000.0,1000.0,4750.0,,,,0.10000000000000001,0.085000000000000006,0.10000000000000001,0.10000000000000001,0.040000000000000001,0.10000000000000001,1.0,0.055,0.05,0.1,126.124599569,3750.0,0.075,,,,,,,2.81708871003e-07,0.1,,,0.00124086042626,4250.0,,
RH65,,,0.63816945341499998,0.99999584718500001,0.610584240778,,,,93.125565211000009,,,66.684211685799994,47.341443068500006,130.297660278,,,,4250.0,,,1250.0,1000.0,4250.0,,,,0.050000000000000003,,,0.089999999999999997,0.040000000000000001,0.10000000000000001,0.940216406155,0.065,0.05,0.09,92.31779806,4750.0,0.045,,,,,,,0.60809678476,0.095,,,0.610095392479,3500.0,,
RH70,,,0.80217431016700003,1.0,0.56464958894599993,,,,110.829139785,97.797793225000007,117.17790945600001,62.707985283599996,47.341443068500006,133.22602192299999,,,,2500.0,2250.0,4750.0,1250.0,1000.0,4750.0,,,,0.089999999999999997,0.050000000000000003,0.10000000000000001,0.085000000000000006,0.040000000000000001,0.10000000000000001,1.0,0.055,0.05,0.1,107.101210784,4500.0,0.055,,,,,,,0.489319282225,0.1,,,0.561892401394,3750.0,,
RV15,,,0.69783279648100005,1.0,0.47783226108800003,,,,103.174760959,,,58.905889414999997,50.106592770600002,69.633984134499997,,,,2750.0,,,2000.0,1000.0,3500.0,,,,0.080000000000000002,,,0.059999999999999998,0.040000000000000001,0.10000000000000001,1.0,0.06,0.055,0.065,111.043885368,4000.0,0.065,,,,,,,0.291805798757,0.1,,,0.477832261088,4000.0,,
RV20,,,0.62393376608399997,1.0,0.15815897882000002,,,,109.80828198299999,,,47.108216348900001,33.725699662300002,74.410798041299998,,,,2750.0,,,750.0,750.0,4000.0,,,,0.085000000000000006,,,0.089999999999999997,0.040000000000000001,0.10000000000000001,1.0,0.04,0.04,0.075,71.9008209434,1500.0,0.09,,,,,,,0.15815897882,0.07,,,0.156578109877,2000.0,,
RV25,,,0.72299464629999999,0.5,0.49924729688600006,,,,103.174760959,103.174760959,110.67221507299999,65.911695904799998,,,,,,2750.0,2250.0,2750.0,1250.0,,,,,,0.080000000000000002,0.080000000000000002,0.10000000000000001,0.095000000000000001,,,0.5,0.06,,,110.672214705,2250.0,0.1,,,,,,,0.436154187097,0.1,,,0.499247296884,3750.0,,
RV30a,,,0.519318467615,,0.519318467615,,,,109.80828198299999,,,,,,,,,2750.0,,,,,,,,,0.085000000000000006,,,,,,,,,,109.808281983,2750.0,0.085,,,,,,,0.312476843654,0.1,,,0.468390914288,3750.0,,
RV30b,,,0.53713891217900001,,0.53713891217900001,,,,114.09702592100001,,,,,,,,,2500.0,,,,,,,,,0.095000000000000001,,,,,,,,,,114.097025921,2500.0,0.095,,,,,,,0.235935510292,0.1,,,0.461331866657,3750.0,,
RV30c,,,0.63798340687700006,1.0,0.51824073612400001,,,,103.174760959,,,62.1894076751,50.106592769999999,102.794099045,,,,2750.0,,,1250.0,1000.0,4750.0,,,,0.080000000000000002,,,0.089999999999999997,0.040000000000000001,0.10000000000000001,1.0,0.06,0.055,0.1,111.043885368,4000.0,0.065,,,,,,,0.392170402475,0.075,,,0.518240736124,4000.0,,
Weggis,1.0,0.338116922446,0.66666666666700003,,0.66666666666700003,104.17598075799999,,,39.449986761999995,,,,,,,,,1500.0,,,,,,,,,0.070000000000000007,,,,,,,,,,39.449986762,1500.0,0.07,,,,,,,0.666666666667,0.065,,,0.666666666667,2000.0,,
