sample,depth,grain_number,raw_Ahe_age,raw_Ahe_age_SE,AHe_age_corr,AHe_age_corr_SE,grain_radius,U,Th,Sm,Shape,Transparent,length_um,width_um,color,even_surface
RH45,0,2,7.054897913,0.42,9.15,0.55,66.99988556,62.03320313,10.42061996,95.36424255,0,T,163,134,,F
RH45,0,3,10.45844442,0.63,13.5,0.81,70.86531067,59.5708046,24.40659714,105.3857574,0,T,163,141,,T
RH50,0,1,8.002732019,0.48,12.36,0.74,42.94648361,5.501671314,25.70739937,44.46205139,r,F,140,86,,F
RH50,0,2,4.253989359,0.26,6.45,0.39,48.48574448,88.48150635,289.3628845,74.82790375,r,F,109,97,,F
RH50,0,3,4.435776209,0.27,7.65,0.46,36.94181442,67.77817535,65.44817352,288.8667297,0,T,81,74,,T
RH60c,0,2,5.195767282,0.31,7.71,0.46,48.56937408,9.555278778,92.75099945,280.906189,0,F,142,97,,F
RH60c,0,3,4.169151459,0.25,6.46,0.39,45.45375824,9.4087677,126.0571747,388.0583191,0,T,119,90,,F
RH65,0,1,3.122720255,0.19,4.72,0.28,44.53894806,2.691430807,9.854007721,136.4856567,1,T,148,89,,T
RH65,0,2,5.31953666,0.32,7.8,0.47,44.22747803,87.26540375,30.09141541,76.78475952,1,T,148,88,,T
RH65,0,4,2.665965587,0.11,4.88,0.2,33.85933685,16.00749207,60.8084259,134.8885956,r,F,86,67,,F
RH65,0,5,5.996519343,0.129591323,8.32,0.18,58.64193726,16.96778107,40.84894943,67.0345993,1,T,142,117,blue,F
RH70,0,1,4.873339744,0.29240039,7.03,0.4,51.74901199,25.61443329,32.05205917,20.8063736,0,T,126,103,,T
RH70,0,2,3.504861707,0.210291705,5.06,0.3,51.815979,25.08958817,39.05246735,107.7233124,1,T,128,103,,T
RH70,0,3,3.955147172,0.237308839,5.72,0.3,51.02218246,22.36485291,35.82941437,51.67525864,r,F,133,102,,F
RV05,0,1,9.283077677,0.362672897,13.7706285,0.537993315,43.25,10.26041649,23.79834753,192.1751729,0,T,104,86,,F
RV05,0,2,5.546873679,0.462860763,9.722676405,0.811312044,30.75,11.70922761,31.89807589,199.1759881,r,T,87,60,,F
RV05,0,3,5.533725064,0.234967275,8.640709416,0.366892812,37.75,11.59935047,37.63032723,255.495635,r,F,166,75,,F
RV10bx,0,3,25.56913468,1.534148017,34.35,2.06,65.07511902,0.851388395,1.527459264,7.736954212,,,,,,
RV15,0,1,5.198653314,0.3119192,7.81,0.47,51.49829102,24.65498543,134.9541626,403.9974976,1,T,104,103,,T
RV15,0,2,4.687749289,0.281264962,7.74,0.46,41.80825424,14.40136814,59.37991333,398.6731873,0,F,89,83,,T
RV15,0,3,8.284976766,0.497098611,12.53,0.75,47.09909439,13.73606777,46.83872986,577.8267822,0,T,120,94,,T
RV20,0,1,10.51705533,0.281301786,15.29,0.41,43.75,19.8911567,53.68813706,494.5080366,0,T,100,88,,T
RV20,0,2,30.11362162,0.579096003,43.23132519,0.83135426,53,13.26133226,73.63304244,533.7270457,0,F,105,86,,F
RV20,0,3,10.84308435,0.301080532,16.32,0.45,39.75,23.38545388,72.27826713,879.7289838,0,T,102,80,,T
RV25,0,1,3.487088989,0.20922533,5.09,0.31,52.60385513,2.631724119,102.663414,37.74512863,r,F,133,105,,F
RV25,0,2,6.222511638,0.373350691,8.32,0.5,67.23448181,2.040589571,3.001188994,30.77590179,r,T,141,134,,T
RV30c,0,1,4.864946594,0.291896802,8.25,0.5,36.0722847,13.18608189,55.28755569,84.12445831,0,T,116,72,,T
RV30c,0,2,5.312051351,0.318723081,8.06,0.48,42.18673706,43.40454483,53.41884995,82.69772339,0,T,149,84,,T
RV30c,0,3,6.664819322,0.399889143,9.47,0.57,54.57658768,33.24768448,78.60856628,18.71022606,1,T,135,109,,T
