,AFT_reference,sample_id,borehole,long,lat,x_swiss_grid,y_swiss_grid,elevation,depth,depth_min,depth_max,location,outcrop_or_borehole,lithology,tectonic_unit,stratigraphic_unit,stratigraphic_age_min,stratigraphic_age_max,include_in_compilation,AFT_central_age,AFT_central_age_stdev,AFT_central_age_95ci_min,AFT_central_age_95ci_plus,AFT_n_grains,AFT_Dpar,AFT_Dper,AFT_age_dispersion_perc,AFT_P_chi_sq,P_X2,AFT_reset,AFT_resetting_depth,Unnamed: 31,Unnamed: 32,AFT_mean_track_length,AFT_track_length_stderr,AFT_track_length_stdev,N ap TL,ZFT_age,ZFT_age_stdev,ZFT_n_grains,ZFT_reference,AHe_mean age,AHe_mean age_error_perc,Ahe_reset,AHe_reference
281,von_Hagke_etal2014,B45,,9.844155,47.480881,781288.019482,261680.712107,460.0,,,,,outcrop,,,USM,28.4,23.03,y,,,,,,,,,,,,,,,,,,,,,,,7.19,2.01,y,von_Hagke_etal2014
283,von_Hagke_etal2012,RH12,,,,,,,,,,,outcrop,,,USM-I,,,y,,,,,,,,,,,,,,,,,,,,,,,4.29,0.35,y,von_Hagke_etal2012
284,von_Hagke_etal2012,RH17,,,,,,,,,,,outcrop,,,USM-I,28.4,25.0,y,,,,,,,,,,,,,,,,,,,,,,,3.59,1.89,y,von_Hagke_etal2012
285,von_Hagke_etal2012,RH23,,,,,,,,,,,outcrop,,,UMM,33.9,28.4,y,,,,,,,,,,,,,,,,,,,,,,,5.8,0.51,y,von_Hagke_etal2012
286,This_Study,S1,,8.481814,47.055166,679256.715526,212097.930261,1750.0,,,,,outcrop,,,USM-I,,,y,,,,,,,,,,,,,,,,,,,,,,,10.2,2.24,n,This_Study
287,This_Study,S2,,8.46024,47.041345,677638.01809,210538.981632,1215.0,,,,,outcrop,,,USM-I,26.0,23.03,y,,,,,,,,,,,,,,,,,,,,,,,15.75,0.51,n,This_Study
288,This_Study,S20,,8.418922,47.043594,674494.912048,210749.050223,440.0,,,,,outcrop,,,USM-II,23.03,20.43,y,,,,,,,,,,,,,,,,,,,,,,,4.69,0.3,y,This_Study
289,This_Study,S3,,8.450385,47.031618,676903.431498,209448.776829,630.0,,,,,outcrop,,,USM-I,28.4,23.03,y,,,,,,,,,,,,,,,,,,,,,,,6.25,5.84,n,This_Study
290,This_Study,S31,,8.496015,47.007007,680407.650341,206758.791478,665.0,,,,,outcrop,,,USM-I,26.0,23.03,y,,,,,,,,,,,,,,,,,,,,,,,9.76,5.53,y,This_Study
291,This_Study,S64,,8.353148,47.040422,669501.204351,210336.323343,475.0,,,,,outcrop,,,USM,23.03,20.43,y,,,,,,,,,,,,,,,,,,,,,,,5.92,0.42,y,This_Study
292,This_Study,S7,,8.399869,47.078254,673000.128854,214584.114097,550.0,,,,,outcrop,,,USM,23.03,20.43,y,,,,,,,,,,,,,,,,,,,,,,,15.53,2.25,y,This_Study
