well,gof_vr_max,gof_aft_max,gof_T_max,gof_aft_T_max,cooling_vr_best,cooling_vr_min,cooling_vr_max,cooling_aft_best,cooling_aft_min,cooling_aft_max,cooling_at_best,cooling_at_min,cooling_at_max,cooling_at_est_best,cooling_at_est_min,cooling_at_est_max,exhumation_vr_best,exhumation_vr_min,exhumation_vr_max,exhumation_aft_best,exhumation_aft_min,exhumation_aft_max,exhumation_at_best,exhumation_at_min,exhumation_at_max,exhumation_at_est_best,exhumation_at_est_min,exhumation_at_est_max,heat_flow_best,heat_flow_min,heat_flow_max,borehole,long,lat,x_swiss_grid,y_swiss_grid,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel,elevation_dem,relief
E45,,1.0,,,,,,85.127284052,78.98194895479999,111.9006699443,,,,90.57890919389999,78.98194895479999,105.27749013420001,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.0135039814,46.93171463109999,643777.988903,198006.854111,310.03313632596524,310.03313632596524,244957.6617648484,764.2059936523438,1200.39599609375
E50,,0.9999999999000002,,,,,,93.3801802601,84.2188044221,110.0718088503,,,,90.57890919389999,90.57890919389999,105.27749013420001,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.0096205023,46.9370419831,643477.950595,198596.924928,963.9651005639563,963.9651005639563,244983.42609949253,742.7050170898438,1133.491943359375
E55,,1.0,,,,,,89.9104679374,0.0,112.4108927676,,,,98.08299257809999,0.0,108.8364300386,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,7.9668878977999995,46.932478683,640227.530409,198066.861508,1806.281217604214,1806.281217604214,241973.56612647627,802.7930297851562,1229.8028564453125
E60,,1.0,,,,,,85.7453827497,0.0,112.4108927676,,,,98.08299257809999,0.0,108.8364300386,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,7.9547234126,46.9376620681,639297.410651,198636.92993399999,2834.9923737804957,2834.9923737804957,241846.2442562117,934.8939819335938,1139.50390625
E65,,1.0,,,,,,90.83236138740001,66.6825528253,116.59800203430001,,,,109.10633474209999,66.6825528253,110.0799841077,,,,,1500.0,4500.0,,,,3500.0,2000.0,4000.0,,0.065,0.065,,7.9988349236000005,46.986035956,642617.843508,204037.578446,5636.640336211876,5636.640336211876,247835.3416567179,910.906005859375,1447.487060546875
E70b,,1.0,,,,,,51.294455897700004,0.0,112.63330158309999,,,,109.10633474209999,0.0,109.10633474209999,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,7.939145,47.001901000000004,638065.71406,205770.62307200002,9670.396356616806,9670.396356616806,242507.70313395944,1265.6009521484375,1229.623046875
Entlebuch,0.4445409219,0.7491216931,0.7525298081,0.614561309,12.414402079,,,18.0784153233,9.7026965049,31.945072839899996,12.805043626300002,,,12.805043626300002,,,,,,,250.0,750.0,,,,,,,,,,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,197.2444621347263,197.2444621347263,253992.0926795371,1134.801025390625,2081.68994140625
Herdern,,1.0,,,,,,0.0,0.0,76.5154823576,,,,57.3269427158,0.0,64.1083487895,,,,,0.0,3000.0,,,,1750.0,0.0,2000.0,,0.065,0.065,Herdern,8.920304552000001,47.61399,711395.177731,274753.148733,39785.04588610032,39785.04588610032,342002.26347624185,525.6010131835938,0.0
Huenenberg,0.5715362511,0.7906170949,0.8303331438,0.7767887905499998,44.992699734300004,,,28.9931390217,10.3845672768,67.98921437770001,28.9931390217,24.5449452141,45.711117896800005,28.9931390217,24.5449452141,45.711117896800005,,,,,250.0,2500.0,,750.0,1250.0,,750.0,1250.0,,0.065,0.07,Huenenberg,8.4347466574,47.1679846484,675522.032259,224592.55551799998,6007.949139876521,6007.949139876521,288473.43648521096,455.3009948730469,2074.60693359375
Lindau,0.9944317758,0.9999976477000002,0.4999050836,0.7485645143,66.389613969,59.1768776769,89.77220379489998,48.09247589939999,16.2182029223,78.02163128249998,64.3359793358,30.529663451599998,64.3359793358,64.3359793358,30.529663451599998,64.3359793358,,1250.0,3000.0,,250.0,3000.0,,750.0,2000.0,,750.0,2000.0,,0.06,0.085,Lindau,8.6702652158,47.4415012119,692899.567907,255251.81481799998,30321.833652301357,30321.833652301357,304204.4006274156,519.302001953125,0.0
Linden,,0.9996230322,0.9126584572,0.8943137255,,,,37.0616151992,0.0,68.1289247462,18.8614946746,7.4320767371,45.6018667866,18.8614946746,7.4320767371,45.6018667866,,,,,0.0,2750.0,,250.0,1250.0,,250.0,1250.0,,0.06,0.07,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,6083.6931367682155,6083.6931367682155,214684.03307506864,901.4990234375,1360.4910888671875
MRP025,,0.9999999969,,,,,,28.494759434099997,0.0,93.4196547466,,,,44.7335493429,0.0,84.23891306209998,,,,,0.0,4000.0,,,,1000.0,0.0,2500.0,,0.065,0.065,,8.5767199611,47.0533831835,686470.005288,211999.52296099998,-10369.486674282987,-10369.486674282987,286662.7571134111,561.8980102539062,1841.10205078125
MRP067,,1.0,,,,,,90.6142799148,75.8252841746,111.9006699443,,,,95.64631979149999,78.98194895479999,104.6381291599,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,9.4971829822,47.3456840266,755540.050996,245910.128252,-7094.680585005901,-7094.680585005901,373036.91558853304,830.301025390625,0.0
MRP087,,0.9999977889,,,,,,0.0,0.0,75.95133139859999,,,,0.0,0.0,71.50437701109999,,,,,0.0,3000.0,,,,0.0,0.0,2000.0,,0.065,0.065,,6.8347777905,46.517516144,553659.589267,151980.515008,-7059.904392902238,-7059.904392902238,137819.99149729285,712.0919799804688,217.00296020507812
MRP117,,1.0,,,,,,52.643807645200006,0.0,103.0941349116,,,,84.23891306209998,0.0,95.059238171,,,,,0.0,4500.0,,,,2500.0,0.0,3000.0,,0.065,0.065,,7.7554209462,46.7405104176,624210.032151,176639.566329,-7561.573130626356,-7561.573130626356,214150.91781960864,1505.001953125,1495.2109375
MRP170,,1.0,,,,,,0.0,0.0,97.5875313358,,,,84.23891306209998,0.0,95.059238171,,,,,0.0,4500.0,,,,2500.0,0.0,3000.0,,0.065,0.065,,8.485709014,47.0571278126,679550.026034,212319.511898,-6268.1112850876325,-6268.1112850876325,283457.3550875573,1780.5989990234375,1878.9989013671875
MRP172,,1.0,,,,,,73.88672153819999,33.6570355393,103.0941349116,,,,95.059238171,34.673185154,95.64631979149999,,,,,1000.0,4500.0,,,,3000.0,1000.0,3000.0,,0.065,0.065,,8.509302741,47.048813978599995,681355.0205989999,211419.51101400002,-7844.574105183291,-7844.574105183291,285407.9811241659,1045.1080322265625,2220.5927734375
MRP174,,1.0,,,,,,90.6142799148,75.8252841746,111.9006699443,,,,104.6381291599,78.98194895479999,104.6381291599,,,,,2000.0,4500.0,,,,3500.0,2500.0,3500.0,,0.065,0.065,,8.532667377100001,47.0554306163,683120.0147310001,212179.516955,-8027.5683757501565,-8027.5683757501565,286083.9637829794,449.70098876953125,2064.39990234375
MRP179,,1.0,,,,,,85.41698614180001,80.7495047679,103.1252231572,,,,91.296513227,86.2312960199,96.3376280368,,,,,2000.0,4500.0,,,,3000.0,3000.0,3000.0,,0.065,0.065,,8.0140744452,46.8842393867,643860.10276,192729.493993,-4593.588968027008,-4593.588968027008,243105.29346786754,883.406982421875,1638.5008544921875
MRP187,,1.0,,,,,,73.88672153819999,49.7207362744,103.0941349116,,,,95.059238171,53.420635059300004,95.64631979149999,,,,,1500.0,4500.0,,,,3000.0,1500.0,3000.0,,0.065,0.065,,7.306608939,46.7415932016,589910.050283,176719.934688,-382.8833247004632,-382.8833247004632,181011.80633099773,891.3060302734375,384.905029296875
MRP198,,1.0,,,,,,51.5795995351,0.0,108.053401193,,,,107.5380439759,0.0,107.5380439759,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,8.1409348657,46.9939071342,653420.118605,204999.500625,368.6765641291685,368.6765641291685,257338.21343981716,875.6890258789062,1772.5999755859375
MRT052,,1.0,,,,,,0.0,0.0,93.4196547466,,,,44.7335493429,0.0,84.23891306209998,,,,,0.0,4000.0,,,,1000.0,0.0,2500.0,,0.065,0.065,,9.0070056333,47.1472758504,718949.946361,222999.706263,-7484.836211684687,-7484.836211684687,325927.723378866,813.89697265625,0.0
RH10,,1.0,,,,,,90.57890919389999,80.47628411329998,106.43473572229999,,,,90.57890919389999,90.57890919389999,105.27749013420001,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.4971291788,47.008332088100005,680490.769997,206906.9045,-11113.836815241066,-11113.836815241066,279594.09246644645,778.0079956054688,1957.903076171875
RH15,,0.9987631025,,,,,,97.4811839541,85.127284052,99.65880719450001,,,,90.57890919389999,90.57890919389999,90.57890919389999,,,,,2000.0,4500.0,,,,3000.0,3000.0,3000.0,,0.065,0.065,,8.4514924324,47.0329457547,676985.32021,209597.23283800003,-6787.417808663655,-6787.417808663655,278680.59767562273,661.6920166015625,1093.406982421875
RH25,,0.6106886738,,,,,,98.74555406260001,,,,,,,,,,,,,,,,,,,,,,,,,8.4261499695,47.0523388194,675032.0706890001,211728.492031,-3897.8203635649834,-3897.8203635649834,278592.87639281777,509.59600830078125,1393.0819091796875
RH30a,,1.0,,,,,,87.7954876552,73.3208633058,114.8045567102,,,,107.5380439759,77.8840431259,108.6510521101,,,,,2000.0,4500.0,,,,3500.0,2500.0,4000.0,,0.065,0.065,,8.354240583300001,47.0417518627,669582.354992,210485.34627,-1595.8074659973806,-1595.8074659973806,273881.72344620863,471.9049987792969,2259.68017578125
RH30b,,1.0,,,,,,88.80571426979998,82.29881879779998,108.6818042291,,,,90.8758475892,90.8758475892,108.309214004,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.354240583300001,47.0417518627,669582.354992,210485.34627,-1595.8074659973806,-1595.8074659973806,273881.72344620863,471.9049987792969,2259.68017578125
RH35,,1.0,,,,,,83.3448786979,72.423207554,114.8045567102,,,,95.90398577059999,77.8840431259,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.4087625296,47.0735394534,673681.90004,214068.776065,-1243.7216688764358,-1243.7216688764358,279098.5890154863,566.4080200195312,2008.0849609375
RH40,,0.9999998108,,,,,,89.0188308857,81.7522409579,114.8045567102,,,,90.8758475892,85.8046907082,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.400969788200001,47.0795878233,673081.823056,214733.85699600002,-348.16729633304067,-348.16729633304067,279078.40492955985,595.1929931640625,2150.31591796875
RH45,,1.0,,,,,,87.7954876552,49.9932532571,111.34745668069999,,,,96.77481709850002,49.9932532571,107.5380439759,,,,,1500.0,4500.0,,,,3500.0,1500.0,3500.0,,0.065,0.065,,8.4167045944,47.0902060161,674261.980946,215929.000681,-223.21613120751326,-223.21613120751326,280742.9978476032,524.5070190429688,2319.308837890625
RH50,,0.9999682147,,,,,,0.0,0.0,96.7541447917,,,,0.0,0.0,96.7541447917,,,,,0.0,4000.0,,,,0.0,0.0,3000.0,,0.065,0.065,,8.4139814419,47.1070529819,674031.955478,217799.22741199998,1327.6625874132762,1327.6625874132762,281782.867116516,665.39697265625,2077.02490234375
RH60c,,0.335208877,,,,,,102.20791670959998,,,,,,,,,,,,,,,,,,,,,,,,,8.3385145565,47.0857618908,668331.202088,215363.93650900002,3149.25691898204,3149.25691898204,275514.80841542257,419.906005859375,2065.514892578125
RH65,,1.0,,,,,,73.1761415035,0.0,110.07660459569999,,,,97.03380971840001,0.0,109.10633474209999,,,,,0.0,4500.0,,,,3000.0,0.0,3500.0,,0.065,0.065,,8.380851,47.130224,671486.457694,220344.347073,4913.635892121021,4913.635892121021,281469.835943817,418.5010070800781,1936.180908203125
RH70,,1.0,,,,,,85.3407892341,76.01167102969998,116.59800203430001,,,,97.6972973709,79.8966992423,109.17889144799999,,,,,2000.0,4500.0,,,,3000.0,2500.0,4000.0,,0.065,0.065,,8.247937,47.082715,661457.094976,214950.336275,6011.0857539393055,6011.0857539393055,268657.55293843173,507.70098876953125,1309.492919921875
RV15,,0.9996686489,,,,,,77.6982387929,0.0,108.053401193,,,,77.8840431259,0.0,107.5380439759,,,,,0.0,4500.0,,,,2500.0,0.0,3500.0,,0.065,0.065,,8.4661409761,47.0440706389,678082.46765,210848.38273900002,-6555.066590726628,-6555.066590726628,280337.58755261515,1422.7939453125,1804.4869384765625
RV20,,0.9999997692,,,,,,84.494984911,73.3208633058,114.8045567102,,,,95.90398577059999,77.8840431259,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.4613497836,47.042673927399996,677720.419733,210688.363795,-6440.368022577139,-6440.368022577139,279958.73534514185,1386.6910400390625,1633.5040283203125
RV25,,0.9999999978,,,,,,84.494984911,73.3208633058,114.8045567102,,,,95.90398577059999,77.8840431259,108.6510521101,,,,,2000.0,4500.0,,,,3000.0,2500.0,4000.0,,0.065,0.065,,8.4624946317,47.042663721400004,677807.43113,210688.363705,-6497.094771681318,-6497.094771681318,280024.713062168,1379.60400390625,1757.5771484375
RV30a,,1.0,,,,,,84.494984911,77.6982387929,114.8045567102,,,,95.90398577059999,77.8840431259,108.6510521101,,,,,2000.0,4500.0,,,,3000.0,2500.0,4000.0,,0.065,0.065,,8.4510983427,47.0420450577,676942.317599,210608.35493,-5993.549564467571,-5993.549564467571,279308.28415814426,1079.301025390625,1218.31298828125
RV30b,,1.0,,,,,,82.29881879779998,72.423207554,114.8045567102,,,,95.90398577059999,77.8840431259,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.4510983427,47.0420450577,676942.317599,210608.35493,-5993.549564467571,-5993.549564467571,279308.28415814426,1079.301025390625,1218.31298828125
RV30c,,1.0,,,,,,87.7954876552,49.9932532571,111.34745668069999,,,,96.77481709850002,49.9932532571,107.5380439759,,,,,1500.0,4500.0,,,,3500.0,1500.0,3500.0,,0.065,0.065,,8.4508419527,47.042407193,676922.315099,210648.35978,-5950.189833609207,-5950.189833609207,279319.2578434715,1079.301025390625,1218.31298828125
Rigi,,0.9999999254,,,,,,44.8454431267,0.0,61.674609268199994,,,,36.3533943882,13.345678938599999,36.3533943882,,,,,0.0,2500.0,,,,750.0,250.0,1000.0,,0.065,0.065,Rigi,8.4262661127,47.034344193500004,675066.069574,209728.250507,-5434.906575195109,-5434.906575195109,277312.48043587484,469.78900146484375,1078.072998046875
Romanens,,0.999994054,0.2419282289,0.54447206065,,,,45.7881190842,0.0,72.77343186609998,0.0,,,0.0,,,,,,,0.0,3000.0,,,,,,,,,,Romanens,6.9716392751,46.6585020829,564255.734962,167581.216243,-225.859630287863,-225.859630287863,151574.95910349942,956.1950073242188,217.29598999023438
Savigny,0.5385238197,0.9298545982,0.8396444962999998,0.824684129,62.8647451192,,,0.0,0.0,66.6485808562,20.8334029291,11.0414562901,32.360812309800004,20.8334029291,11.0414562901,32.360812309800004,,,,,0.0,2250.0,,250.0,500.0,,250.0,500.0,,0.07,0.08,Savigny,6.738949879,46.54821,546336.432499,155453.70051199998,-676.3742812212865,-676.3742812212865,128181.51114115455,836.2979736328125,124.2979736328125
Thun,,0.8170418713999998,0.7165675729000001,0.6400172724,,,,46.7002657472,14.1364802988,51.975198084700004,7.2363563005,,,7.2363563005,,,,,,,500.0,2000.0,,,,,,,,,,Thun,7.7059860227999994,46.7591581056,620424.972651,178698.542905,-3796.3403114720245,-3796.3403114720245,212165.4563346019,1117.0,1027.4080810546875
Tuggen,,0.8026913144999998,,,,,,61.9206021672,61.46966647439999,77.2936330398,,,,61.9206021672,61.46966647439999,77.2936330398,,,,,2250.0,3000.0,,,,2500.0,2250.0,3000.0,,0.05,0.055,Tuggen,8.9550840072,47.2008334896,714897.4835420001,228875.49950799998,-402.67958856620544,-402.67958856620544,325927.723378866,407.4010009765625,0.0
Weggis,0.3618288242,0.6657612778,1.0,0.8264927024499998,101.1826118881,,,54.197332985,,,57.508167582,25.494388686399997,67.590004075,57.508167582,25.494388686399997,67.590004075,,,,,,,,500.0,1250.0,,500.0,1250.0,,0.08,0.08999999999999998,Weggis,8.425162397200001,47.033015535299995,674984.041826,209579.496861,-5494.000893236218,-5494.000893236218,277153.21945441514,435.59600830078125,1178.761962890625
